subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s3,230,230,41,0.178260869565217,FALSE,0.0719298245614035,1,0,1,22q:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s9,123,123,122,0.991869918699187,FALSE,0.214035087719298,10,1,9,10p:g;11p:g;12p:g;19q:l;20p:g;21q:g;2q:g;3q:g;5p:g;8p:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s10,118,118,15,0.127118644067797,FALSE,0.0263157894736842,1,0,1,6p:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s12,106,106,102,0.962264150943396,FALSE,0.178947368421053,9,1,8,10p:g;11p:g;12p:g;19q:l;20p:g;21q:g;3q:g;9p:g;9q:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s4,98,98,86,0.877551020408163,FALSE,0.150877192982456,6,0,6,10p:g;11p:g;12p:g;21q:g;3q:g;8p:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s7,89,89,30,0.337078651685393,FALSE,0.0526315789473684,3,0,3,22q:g;3q:g;7q:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s8,86,86,27,0.313953488372093,FALSE,0.0473684210526316,2,0,2,19p:g;22q:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s1,76,76,3,0.0394736842105263,FALSE,0.00526315789473684,4,1,3,17p:g;19q:g;6q:l;7p:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s6,70,70,14,0.2,FALSE,0.0245614035087719,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s2,60,60,58,0.966666666666667,FALSE,0.101754385964912,5,0,5,17q:g;21q:g;3q:g;9p:g;9q:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s5,48,48,41,0.854166666666667,FALSE,0.0719298245614035,3,0,3,10p:g;17q:g;3q:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s11,17,17,17,1,FALSE,0.0298245614035088,9,3,6,10p:g;19p:l;19q:l;21q:g;2q:g;3q:g;6p:l;8p:g;9p:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s16,16,16,7,0.4375,FALSE,0.012280701754386,2,0,2,19p:g;3q:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s14,9,9,1,0.111111111111111,FALSE,0.00175438596491228,1,0,1,22q:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s15,3,3,3,1,FALSE,0.00526315789473684,7,2,5,10p:g;18p:l;20p:g;21q:g;3q:g;6p:l;8p:g,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s13,1,1,1,1,FALSE,0.00175438596491228,18,6,12,10p:g;12p:g;17p:g;17q:g;18p:g;18q:g;19p:l;19q:l;20p:g;22q:l;2p:g;3p:l;3q:g;4p:l;5p:g;5q:g;6p:g;8q:l,,,FALSE,0,Chen2023,AML162_niche_immune
observation.observation_s17,1,1,1,1,FALSE,0.00175438596491228,16,4,12,10q:g;11q:l;14q:g;16p:l;18p:g;18q:g;19p:l;19q:l;20q:g;2q:g;3q:g;6q:g;7p:g;7q:g;8p:g;9p:g,,,FALSE,0.44,Chen2023,AML162_niche_immune
observation.observation_s18,1,1,1,1,FALSE,0.00175438596491228,16,5,11,11p:g;11q:g;12p:l;13q:l;14q:g;17p:g;18p:g;18q:g;19p:g;1q:g;20p:g;21q:l;22q:g;3p:l;4q:g;5q:l,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s16,123,123,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s12,79,79,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s13,79,79,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s18,68,68,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s5,65,65,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s25,65,65,0,0,TRUE,0,1,0,1,10q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s1,62,62,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s21,61,61,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s7,54,54,0,0,TRUE,0,1,0,1,6p:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s26,54,54,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s4,53,53,0,0,TRUE,0,1,0,1,6p:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s10,53,53,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s2,52,52,0,0,TRUE,0,1,0,1,3q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s6,46,46,0,0,TRUE,0,1,0,1,20q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s9,29,29,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s11,29,29,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s19,29,29,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s14,28,28,0,0,TRUE,0,1,0,1,2q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s27,28,28,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s8,26,26,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s23,24,24,0,0,TRUE,0,1,0,1,2q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s15,22,22,0,0,TRUE,0,1,0,1,2p:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s3,19,19,0,0,TRUE,0,2,0,2,1q:g;7q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s24,16,16,0,0,TRUE,0,1,0,1,17q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s22,12,12,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s29,12,12,0,0,TRUE,0,1,0,1,7q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s28,5,5,0,0,TRUE,0,3,0,3,12p:g;1q:g;7p:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s32,4,4,0,0,TRUE,0,6,0,6,10p:g;11q:g;14q:g;17q:g;2q:g;3q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s20,3,3,0,0,TRUE,0,3,1,2,12p:l;20q:g;8p:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s17,2,2,0,0,TRUE,0,5,1,4,11q:g;18p:g;19p:g;2q:l;9q:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s30,2,2,0,0,TRUE,0,8,0,8,10p:g;10q:g;16q:g;20p:g;20q:g;21q:g;22q:g;8p:g,,,FALSE,0,Chen2023,AML162_niche_immune
reference_normal.reference_normal_s31,2,2,0,0,TRUE,0,3,0,3,4p:g;8p:g;8q:g,,,FALSE,0,Chen2023,AML162_niche_immune
