Dataset,Sample,Patient_ID,Timepoint,n_cells,median_nCount,min_nCount,max_nCount,median_nFeature,min_nFeature,max_nFeature,median_pct_mt,max_pct_mt,median_pct_ribo,max_pct_ribo,median_pct_hb,max_pct_hb
E-MTAB-11536,621B-BLD,621B,Healthy,105,4868,1102,11342,1690,611,3088,3.64444444444445,14.065335753176,34.258745141588,51.1858726475896,0.112139052425007,31.7407561279601
E-MTAB-11536,621B-BMA,621B,Healthy,711,4434,1042,59082,1639,615,6767,3.72181472425971,25.4084115397984,29.2608935466078,47.92142530836,0.107613666935701,46.0278247302041
E-MTAB-11536,637C-BLD,637C,Healthy,779,4624,853,16479,1862,589,4213,2.54749568221071,25.8524488530688,20.0078539171412,44.8666961260863,0.017149717029669,62.9265196000635
E-MTAB-11536,637C-BMA,637C,Healthy,1616,4957.5,870,76527,1927.5,585,7888,2.54158011004458,38.0952380952381,20.0069424635642,44.2378328741965,0.0159438840359014,30.2102048149479
E-MTAB-11536,640C-BMA,640C,Healthy,2048,5370,963,85882,1981.5,579,8108,2.84295687190264,52.7333227697671,19.9363298206369,45.2954697115741,0.0218364515344262,33.4601521826191
E-MTAB-11536,A29-BMA,A29,Healthy,1410,3622,1016,70119,1367.5,590,6859,5.04742337571504,27.0557029177719,28.3886862841469,54.5017182130584,0.171419733117347,48.5741295100047
E-MTAB-11536,A31-BMA,A31,Healthy,363,5447,949,77007,1841,587,6892,5.7959087702798,35.8403809836604,23.2,54.4796691936595,0.237812128418549,33.4409180563027
E-MTAB-11536,A35-BLD,A35,Healthy,1411,4966,892,38893,1676,591,5471,4.25299890948746,38.1638846737481,21.6472447165712,55.5149430230058,0.0178539546509552,1.27538970240907
E-MTAB-11536,A35-BMA,A35,Healthy,1399,5513,891,57449,2019,584,6832,3.55528773727026,38.1343644272596,20.9151361621279,52.8094302554028,0.0254000508001016,25.0675535231761
E-MTAB-11536,A36-BLD,A36,Healthy,3360,6009,906,66969,1960,587,6565,4.4544900997028,49.6979681493685,26.0942180942391,51.3541980138429,0.0615479319080427,62.0253164556962
E-MTAB-11536,A36-BMA,A36,Healthy,1333,5040,914,50018,1764,591,5868,4.98942172073343,75.5574468085107,21.4594928880643,48.3654355893267,0.165094339622642,71.1621377719844
E-MTAB-11536,A37-BMA,A37,Healthy,821,4233,1052,64599,1448,595,7143,5.46907867059318,63.3757357129296,31.3450292397661,55.5146262188516,0.0995421063109695,58.3181542197936
